ID,growing zone,tree name,botanical name,descrip1,descrip2,descrip3,descrip4,descrip5,descrip6,grows in zones,sun preference,soil preference,mature height,mature spread,growth speed,flower color,foliage color,fall color,pollinator friendly,outgoing link,main_tree_image,tree_image_1,tree_image_2,tree_image_3,tree_image_4
21,3,Quaking Aspen,Populus tremuloides 'Quaking',Fast-Growing Native Plant,Wonderful Heart-Shaped Leaves,Beautiful Fall Color,Adds Motion & Sound,Beneficial To Wildlife,Distinctive White Bark,2-6,Full Sun,Widely Adaptable,40 - 50 Feet,20 - 30 Feet,Fast,N/A,Dark Green,Yellow,Yes,https://www.naturehills.com/aspen-quaking,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking_aspen_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen-grove-img-1.jpg,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen_bark-closeup-600x600.webp,N/A,N/A
22,4,Quaking Aspen,Populus tremuloides 'Quaking',Fast-Growing Native Plant,Wonderful Heart-Shaped Leaves,Beautiful Fall Color,Adds Motion & Sound,Beneficial To Wildlife,Distinctive White Bark,2-6,Full Sun,Widely Adaptable,40 - 50 Feet,20 - 30 Feet,Fast,N/A,Dark Green,Yellow,Yes,https://www.naturehills.com/aspen-quaking,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking_aspen_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen-grove-img-1.jpg,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen_bark-closeup-600x600.webp,N/A,N/A
23,5,Quaking Aspen,Populus tremuloides 'Quaking',Fast-Growing Native Plant,Wonderful Heart-Shaped Leaves,Beautiful Fall Color,Adds Motion & Sound,Beneficial To Wildlife,Distinctive White Bark,2-6,Full Sun,Widely Adaptable,40 - 50 Feet,20 - 30 Feet,Fast,N/A,Dark Green,Yellow,Yes,https://www.naturehills.com/aspen-quaking,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking_aspen_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen-grove-img-1.jpg,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen_bark-closeup-600x600.webp,N/A,N/A
24,6,Quaking Aspen,Populus tremuloides 'Quaking',Fast-Growing Native Plant,Wonderful Heart-Shaped Leaves,Beautiful Fall Color,Adds Motion & Sound,Beneficial To Wildlife,Distinctive White Bark,2-6,Full Sun,Widely Adaptable,40 - 50 Feet,20 - 30 Feet,Fast,N/A,Dark Green,Yellow,Yes,https://www.naturehills.com/aspen-quaking,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking_aspen_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen-grove-img-1.jpg,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen_bark-closeup-600x600.webp,N/A,N/A
25,4,Autumn Blaze Maple,Acer x freemanii 'Jeffersred',Improved Variety of Maple,Disease Resistant,Pest Resistant,Wonderful Shade Tree,Award Winner,Tried and True,4-8,Full Sun,Widely Adaptable,40 - 60 Feet,40 - 60 Feet,Fast,Red,Green,Red,Yes,https://www.naturehills.com/autumn-blaze-red-maple,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-full-trees-2-800x800_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-close-up-leaves_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-maple-600x600_1.webp,N/A,N/A
26,5,Autumn Blaze Maple,Acer x freemanii 'Jeffersred',Improved Variety of Maple,Disease Resistant,Pest Resistant,Wonderful Shade Tree,Award Winner,Tried and True,4-8,Full Sun,Widely Adaptable,40 - 60 Feet,40 - 60 Feet,Fast,Red,Green,Red,Yes,https://www.naturehills.com/autumn-blaze-red-maple,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-full-trees-2-800x800_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-close-up-leaves_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-maple-600x600_1.webp,N/A,N/A
27,6,Autumn Blaze Maple,Acer x freemanii 'Jeffersred',Improved Variety of Maple,Disease Resistant,Pest Resistant,Wonderful Shade Tree,Award Winner,Tried and True,4-8,Full Sun,Widely Adaptable,40 - 60 Feet,40 - 60 Feet,Fast,Red,Green,Red,Yes,https://www.naturehills.com/autumn-blaze-red-maple,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-full-trees-2-800x800_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-close-up-leaves_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-maple-600x600_1.webp,N/A,N/A
28,7,Autumn Blaze Maple,Acer x freemanii 'Jeffersred',Improved Variety of Maple,Disease Resistant,Pest Resistant,Wonderful Shade Tree,Award Winner,Tried and True,4-8,Full Sun,Widely Adaptable,40 - 60 Feet,40 - 60 Feet,Fast,Red,Green,Red,Yes,https://www.naturehills.com/autumn-blaze-red-maple,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-full-trees-2-800x800_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-close-up-leaves_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-maple-600x600_1.webp,N/A,N/A
29,8,Autumn Blaze Maple,Acer x freemanii 'Jeffersred',Improved Variety of Maple,Disease Resistant,Pest Resistant,Wonderful Shade Tree,Award Winner,Tried and True,4-8,Full Sun,Widely Adaptable,40 - 60 Feet,40 - 60 Feet,Fast,Red,Green,Red,Yes,https://www.naturehills.com/autumn-blaze-red-maple,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-full-trees-2-800x800_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-close-up-leaves_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-maple-600x600_1.webp,N/A,N/A
30,3,Eastern Red Cedar,Juniperus virginiana,Native Evergreen,Wildlife Cover,Bird Magnet,"Tough, Durable and Drought Resistant",Wonderful Texture,Aromatic Wood,3-9,"Full Sun, Partial Shade",Widely Adaptable,40 - 60 Feet,10 - 20 Feet,Medium,N/A,Green,Evergreen,No,https://www.naturehills.com/eastern-red-cedar,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_cones_web.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern-red-cedar-tree-close-up-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_tree_600x600_3.webp,N/A
